date,content_type,theme,day_of_week,hour,hook,likes,comments,saved,shares,reach,views,interactions,engagement_rate,hashtag_count,caption_word_count,url
2026-04-22,carousel,Seller / move-up equity,Wednesday,17,"Most sellers in Atlanta don't lose on price. They lose on preparation, timing, and the stories they tell themselves before they ever call an agent.",6,0,0,1,118,194,7,0.0593,0,62,https://www.instagram.com/p/DXcSEhjERBC/
2026-04-21,static,Seller / move-up equity,Tuesday,16,Most sellers focus on finding a buyer. The best sellers focus on finding the right one.,0,0,0,0,33,47,0,0.0,10,131,https://www.instagram.com/p/DXZlMBoEWum/
2026-04-15,static,Seller / move-up equity,Wednesday,13,Friendly reminder: you don't have to be moving to need a great agent.,2,0,0,0,185,395,2,0.0108,10,72,https://www.instagram.com/p/DXJ2wy0iuzh/
2026-04-13,reel,Personal / behind the scenes,Monday,15,Not one cold call in three years. Every client I have ever had came from someone who loved them enough to call me first.,10,4,0,0,247,392,14,0.0567,0,38,https://www.instagram.com/reel/DXE3t5dj1az/
2026-04-12,static,Buyer / first-time / financing,Sunday,17,The luxury market is moving. The question is whether you're positioned to move with it.,4,0,1,3,38,62,8,0.2105,10,120,https://www.instagram.com/p/DXCighCkaXS/
2026-04-06,reel,Find Home Anywhere (global series),Monday,18,"April is the perfect time to explore new horizons, and the UAE offers the ultimate blend of luxury, innovation, and culture. ✨ Whether it's the iconic skyline of Dubai, the tranquil desert landscapes,",2,1,0,0,27,37,3,0.1111,6,163,https://www.instagram.com/reel/DWzMZRfk7ks/
2026-03-17,reel,Find Home Anywhere (global series),Tuesday,18,"March brings the promise of new beginnings, and what better place to start fresh than in the timeless charm of the UK? 🌸✨ From the buzzing streets of London to the rolling hills of the English country",2,0,0,0,39,39,2,0.0513,6,165,https://www.instagram.com/reel/DV_sQnklDec/
2026-03-09,reel,Buyer / first-time / financing,Monday,22,🏡 POP-UP ALERT 🚨!!! Tax Prep for Self-Employed Homebuyers!!!,8,0,1,1,130,168,10,0.0769,0,111,https://www.instagram.com/reel/DVrjaJMkpOI/
2026-03-09,static,Buyer / first-time / financing,Monday,18,Are you self-employed?,12,0,1,1,109,167,14,0.1284,0,201,https://www.instagram.com/p/DVrForjkZ7e/
2025-12-11,static,Market stats / education,Thursday,13,🔔CALLING ALL REAL ESTATE PROS 🚨,13,0,0,1,114,310,14,0.1228,0,89,https://www.instagram.com/p/DSH9U98DeS7/
2025-12-05,reel,Find Home Anywhere (global series),Friday,19,"Looking for a fresh start in the New Year? Why not make it in paradise? 🏝️✨ Aruba, where the sun shines nearly every day and the beaches are pulled straight from a postcard, is the perfect place to em",2,0,0,0,55,47,2,0.0364,6,207,https://www.instagram.com/reel/DR5J6W-D2-D/
2025-12-03,static,Lifestyle / seasonal / home tips,Wednesday,6,Know someone who could use this gift? All I need is a name and number ☺️ and we will get them squared away 🫡. Happy Holidays from my family to yours!!!,3,1,0,0,37,209,4,0.1081,0,48,https://www.instagram.com/p/DRymqI1jbIm/
2025-11-28,reel,Buyer / first-time / financing,Friday,17,"If you’ve been waiting for the right moment to jump into a new construction home, this is your sign. Meritage Homes just dropped one of the BEST offers of the season… and it ends this weekend.",3,3,0,1,202,301,7,0.0347,0,161,https://www.instagram.com/reel/DRm-l8UkWgY/
2025-11-25,carousel,Seller / move-up equity,Tuesday,22,LOLLLL Okay Okay! Read to the end and let me cook... I picked up a new phrase in London this weekend… “Mind the gap.” I picked up a new phrase in London this weekend… “Mind the gap.”,8,0,0,0,48,236,8,0.1667,0,221,https://www.instagram.com/p/DRft3eXEV3w/
2025-11-24,static,Personal / behind the scenes,Monday,18,"Every time this list comes out and my name is on it, I’m honestly shocked. I don’t pause to celebrate myself nearly as much as I should, even the small wins. But being surrounded by people who see you",10,7,0,0,59,275,17,0.2881,4,76,https://www.instagram.com/p/DRcuD5GkTou/
2025-11-22,static,Seller / move-up equity,Saturday,16,With so many new faces here I wanted to reintroduce myself.,21,0,1,3,474,954,25,0.0527,0,166,https://www.instagram.com/p/DRXYqHSEWfD/
2025-11-15,reel,Personal / behind the scenes,Saturday,20,Like I said….Reason 5863893738483 I love me job 🥰. Imagine having to come up with an extra $50k because your agent didnt tell you about additional funds available to help you purchase your home. OR mi,8,2,0,1,161,250,11,0.0683,0,49,https://www.instagram.com/reel/DRF1AyQkqdD/
2025-11-14,reel,Seller / move-up equity,Friday,15,"Discover easy and cost-effective tips to showcase your home at its best, from creating a welcoming living room to a spa-like bathroom, and even maximizing your outdoor spaces. Help buyers emotionally ",1,0,0,0,25,27,1,0.04,9,78,https://www.instagram.com/reel/DRCoYiAD3_i/
2025-11-13,reel,Seller / move-up equity,Thursday,22,"Owning a home is much more than a roof over your head. 🏡✨ There's a magical feeling that comes with homeownership: the freedom to customize, create lifelong memories, and watch your investment grow. 🌱",0,0,0,0,3,3,0,0.0,5,75,https://www.instagram.com/reel/DRA0xInjmah/
2025-11-08,static,Lifestyle / seasonal / home tips,Saturday,11,Styling your coffee table is simpler than you think—and you might already have everything you need!,0,0,0,0,2,2,0,0.0,6,98,https://www.instagram.com/p/DQywbA0FVB1/
2025-11-07,static,Lifestyle / seasonal / home tips,Friday,22,🦃 🍁 Let's talk Thanksgiving turkey! This spiced version is sure to wow your guests with its surprisingly moist texture and punch of bold flavor.,0,0,0,0,5,10,0,0.0,5,189,https://www.instagram.com/p/DQxYGEwFQz-/
2025-11-07,static,Lifestyle / seasonal / home tips,Friday,15,"🍂 As you prepare to gather around the table this Thanksgiving, remember that setting a lovely tablescape is an art. Each dish, utensil, and centerpiece plays an important role. Try these tips to craft",0,0,0,0,9,21,0,0.0,5,122,https://www.instagram.com/p/DQwnSQIEcrI/
2025-11-06,static,Seller / move-up equity,Thursday,22,"The short answer: about one to three months for each. But every home sale is unique! The timeline can depend on a variety of factors, including market trends, pricing strategy, and even curb appeal.",0,0,0,0,8,15,0,0.0,6,52,https://www.instagram.com/p/DQuzVlzDf9x/
2025-11-06,static,Buyer / first-time / financing,Thursday,11,"Your home is your haven, but the neighborhood sets the scene! A great house in the wrong area can feel isolating. Finding a community that matches your vibe is key.",0,0,0,0,4,14,0,0.0,4,84,https://www.instagram.com/p/DQtnA0FjfNU/
2025-11-05,reel,Buyer / first-time / financing,Wednesday,14,"Skipping a home inspection can turn a dream purchase into a costly surprise. Expert guidance helps protect the investment, negotiate better terms, and uncover hidden issues before closing. Ready to sa",1,0,0,0,36,33,1,0.0278,5,47,https://www.instagram.com/reel/DQrcPckkfRx/
2025-11-03,static,Lifestyle / seasonal / home tips,Monday,22,Are you hosting this season? Use these great tips to take the stress out of your Thanksgiving celebration so that you can enjoy the time with your family and friends!,0,0,1,0,4,14,1,0.25,6,36,https://www.instagram.com/p/DQnEocplekD/
2025-11-03,static,Lifestyle / seasonal / home tips,Monday,15,🍂🦃 Hosting Thanksgiving this year? Here are some pro tips for getting past your hosting-duty hesitations and making this holiday your best one yet! 🏡🌟,0,0,0,0,6,13,0,0.0,5,145,https://www.instagram.com/p/DQmTtW2FfWn/
2025-11-01,static,Lifestyle / seasonal / home tips,Saturday,11,"Winter is fast approaching, so it’s time to ensure that your home is ready for any harsh weather ahead. Inspect your roof for any missing shingles that could cause leaks during snow or rain. Then chec",0,0,0,0,20,49,0,0.0,5,81,https://www.instagram.com/p/DQgu998Fbrv/
2025-10-30,reel,Seller / move-up equity,Thursday,22,Ready to give your home a makeover?,1,0,0,0,60,52,1,0.0167,11,55,https://www.instagram.com/reel/DQcxR1IiS5y/
2025-10-09,reel,Seller / move-up equity,Thursday,17,"This beautiful home has recently come to the market. The charm is unlike many of the homes that I am seeing today. It's so uniquely southern, and honestly, I'm in love. There is so much diversity in t",1,0,0,0,26,28,1,0.0385,0,123,https://www.instagram.com/reel/DPmJ9gLDVw_/
2025-10-01,carousel,Personal / behind the scenes,Wednesday,17,"After working together for over a year, my phone lights up with a text from a close family friend: ‘Life comes at you fast.’ 😂 And whew, they weren’t lying! This closing will forever be near and dear ",9,1,0,1,147,501,11,0.0748,0,98,https://www.instagram.com/p/DPRpDRtDfK_/
2025-08-29,static,Uncategorized,Friday,17,I am looking to connect with YOUR favorite Real Estate agent!,6,0,0,0,87,369,6,0.069,0,77,https://www.instagram.com/p/DN8ojWTjWXs/
2025-08-28,carousel,Seller / move-up equity,Thursday,19,It’s been a minute… and wow has life been doing its thing 😮‍💨. Last year I had an idea but at the time it seemed so out of reach.,11,0,0,0,98,420,11,0.1122,0,181,https://www.instagram.com/p/DN6RMjakcE9/
2025-08-14,reel,Find Home Anywhere (global series),Thursday,16,"Dreaming of la dolce vita? 🍝✨ Italy offers more than just breathtaking views and incredible food—it’s a place where history, culture, and modern living blend seamlessly. Whether you're seeking a charm",1,0,0,0,164,169,1,0.0061,6,163,https://www.instagram.com/reel/DNV2W92vfNz/
2025-07-10,reel,Find Home Anywhere (global series),Thursday,22,"July is the perfect time to embrace the great outdoors, and Canada offers an incredible mix of natural beauty and vibrant city life. 🍁✨ From the stunning landscapes of Banff to the bustling streets of",1,0,0,0,154,174,1,0.0065,6,158,https://www.instagram.com/reel/DL8bOn0Jmtc/
2025-06-05,reel,Find Home Anywhere (global series),Thursday,22,"June marks the start of summer, and what better place to enjoy it than the Cayman Islands? 🏝️✨ Known for its stunning beaches, crystal-clear waters, and vibrant marine life, the Cayman Islands offer a",1,0,0,0,56,75,1,0.0179,6,161,https://www.instagram.com/reel/DKiTSi4AXE4/
2025-05-01,reel,Find Home Anywhere (global series),Thursday,22,"May is here, and with it comes the promise of sunny days and warm breezes—the perfect time to explore the beauty of the Bahamas. 🏝️✨ Whether you’re drawn to the crystal-clear waters, white sandy beach",2,0,0,0,77,94,2,0.026,6,150,https://www.instagram.com/reel/DJIMatwoEd0/
2025-04-13,reel,Seller / move-up equity,Sunday,17,"When you sell your home with the right agent, the biggest surprise is how easy it can be. With the right guidance, everything from listing to closing feels seamless. Ready to take the next step? Conta",2,0,0,0,133,148,2,0.015,0,53,https://www.instagram.com/reel/DIZQtN4PNh1/
2025-04-03,reel,Find Home Anywhere (global series),Thursday,22,"April is the perfect time to explore new horizons, and the UAE offers the ultimate blend of luxury, innovation, and culture. ✨ Whether it's the iconic skyline of Dubai, the tranquil desert landscapes,",1,0,0,0,43,44,1,0.0233,6,163,https://www.instagram.com/reel/DIAFsTisCKv/
2025-03-29,carousel,Find Home Anywhere (global series),Saturday,22,"From ATL to PHILLY ✈️✨ One thing about real estate—location changes, but wealth-building stays the same! I spent some time exploring the Philly market this week, and let me tell you… the opportunities",7,0,0,0,74,287,7,0.0946,6,105,https://www.instagram.com/p/DHzQIAyP5R3/
2025-03-27,static,Buyer / first-time / financing,Thursday,23,A little late to celebrate but that’s because I have some really big things that I have been working on for you guys this year.,15,1,0,1,145,407,17,0.1172,0,106,https://www.instagram.com/p/DHuHQsIvXVz/
2025-03-16,reel,Uncategorized,Sunday,23,"Pets make the best home-hunting partners! As your Forever Agent®, I’m here to help you and your furry friend find the perfect home. Even if it takes a few laps around the neighborhood to sniff out the",0,0,0,0,49,58,0,0.0,0,95,https://www.instagram.com/reel/DHRyWkyJ2j4/
2025-03-06,reel,Find Home Anywhere (global series),Thursday,23,"March brings the promise of new beginnings, and what better place to start fresh than in the timeless charm of the UK? 🌸✨ From the buzzing streets of London to the rolling hills of the English country",1,0,0,0,26,37,1,0.0385,6,165,https://www.instagram.com/reel/DG4DgjBidiR/
2025-02-06,reel,Find Home Anywhere (global series),Thursday,23,"Fall in love with Mexico this Valentine’s Day. 💖 From the vibrant streets of Mexico City to the sun-soaked beaches of Cancun, this country is full of beauty, culture, and endless opportunities to find",2,0,0,0,45,47,2,0.0444,6,171,https://www.instagram.com/reel/DFv80Lwt6JM/
2025-01-21,carousel,Market stats / education,Tuesday,15,✨ 2024 Top Producer ✨,9,2,0,2,69,245,13,0.1884,5,172,https://www.instagram.com/p/DFF7wfkpbOs/
2025-01-19,reel,Buyer / first-time / financing,Sunday,21,"As your Forever Agent®, I’m here to help you find not just your dream home, but your dream community too—from cozy cafes to lively nightlife. Whether it’s the perfect neighborhood hangout or a hidden ",0,0,0,0,120,113,0,0.0,0,106,https://www.instagram.com/reel/DFBcAZZioi8/
2025-01-19,carousel,Seller / move-up equity,Sunday,18,💥 Sellers are covering closing costs—are you cashing in or missing out? 💥,2,0,0,0,42,173,2,0.0476,0,100,https://www.instagram.com/p/DFBHvSjSUdv/
2025-01-19,static,Buyer / first-time / financing,Sunday,15,"RIP, TikTok 🪦… BUT because we’re always seeking fresh ways to connect with the people who need us most, it’s time for some BIG news: we’re officially a member of The HUB—the #1 Atlanta Real Estate Pro",1,0,0,0,47,151,1,0.0213,9,102,https://www.instagram.com/p/DFA0bdEpTIu/
2025-01-18,static,Seller / move-up equity,Saturday,19,"✨ SOLD in just 10 days with MULTIPLE offers (yes, even in THIS market)! ✨",10,0,0,1,113,278,11,0.0973,4,97,https://www.instagram.com/p/DE-loXiyhK8/
2025-01-16,reel,Humor / relatable,Thursday,22,"opens piggy bank “Alright, time to buy the whole block… y’all think it’s enough?” 🤔",38,0,0,13,893,1453,51,0.0571,3,18,https://www.instagram.com/reel/DE50EYbPb_k/
2025-01-09,reel,Find Home Anywhere (global series),Thursday,23,"Looking for a fresh start in the New Year? Why not make it in paradise? 🏝️✨ Aruba, where the sun shines nearly every day and the beaches are pulled straight from a postcard, is the perfect place to em",1,0,0,0,40,38,1,0.025,6,176,https://www.instagram.com/reel/DEn2Gifh2eq/
2024-12-31,static,Uncategorized,Tuesday,4,"Alexa, play mob ties by drake …",3,0,0,0,17,17,3,0.1765,0,7,https://www.instagram.com/p/DEOoXdNNtUM/
2024-12-23,carousel,Market stats / education,Monday,14,🎄Here are 3 must-do activities in ATL this Christmas:,10,0,0,0,51,241,10,0.1961,0,76,https://www.instagram.com/p/DD7ITkMJNCL/
2024-12-18,reel,Buyer / first-time / financing,Wednesday,21,"🎁 The holidays are here, and while the season is merry and bright, it can also be pricey. If you’re dreaming of buying a home, the holiday spending spree can feel like a hurdle—but it doesn’t have to ",11,0,0,1,241,343,12,0.0498,4,176,https://www.instagram.com/reel/DDvD4M1vj8G/
2024-12-17,carousel,Market stats / education,Tuesday,19,In case yall were wondering how the *bottle dance* in my last post turned out !?! 😂😂😂 they treated me to lunch AND they let me pick the place! Anyone who knows me offline knows that your girl can EAT!,7,1,0,1,145,390,9,0.0621,0,101,https://www.instagram.com/p/DDsM6yCPd5y/
2024-12-17,carousel,Buyer / first-time / financing,Tuesday,18,Honestly the audio on these was way too good to cover up. But ✨CONGRATULATIONS✨ to yet another one of my amazing first time homebuyers who matched my energy every step of the way! This entire transact,13,5,0,1,150,418,19,0.1267,0,74,https://www.instagram.com/p/DDsIHN0vTTZ/
2024-12-12,reel,Find Home Anywhere (global series),Thursday,22,"Portugal is one of those hidden gems that keeps surprising people with its charm. Whether it’s the sun-soaked beaches of the Algarve or the cobblestone streets of Lisbon, this country has a unique ble",1,0,0,0,151,274,1,0.0066,5,158,https://www.instagram.com/reel/DDfvTtMskpU/
2024-12-08,static,Buyer / first-time / financing,Sunday,18,"✨This 4-bedroom, 2.5-bathroom beauty is the perfect chance for a first-time homebuyer to come in and make it their own✨. With dual walk-in closets in the primary suite, a cozy fireplace for those chil",5,0,0,0,40,157,5,0.125,5,173,https://www.instagram.com/p/DDU_Nx9PsYj/
2024-11-27,static,Seller / move-up equity,Wednesday,17,💡🔒 Want to secure a cash offer but still want to explore selling for more?,0,0,0,0,25,119,0,0.0,4,127,https://www.instagram.com/p/DC4jo3pszSW/
2024-11-21,reel,Seller / move-up equity,Thursday,22,"You don’t have to know everything about real estate—that’s my job. But when you work with me, you’ll walk away understanding more than you ever thought possible. I believe educated clients make better",9,1,2,0,211,305,12,0.0569,5,127,https://www.instagram.com/reel/DCpkE4Tv_B1/
2024-11-14,reel,Find Home Anywhere (global series),Thursday,22,"Spain has a way of drawing people in and never letting them go. Several of my friends can’t seem to stay away—they’ve taught, lived, and fallen in love with the country’s vibrant culture. From the liv",4,0,0,0,181,204,4,0.0221,6,144,https://www.instagram.com/reel/DCXoyhdPGK0/
2024-11-13,static,Buyer / first-time / financing,Wednesday,22,🚨 COUNTDOWN IS ON! 🚨 14 SEATS LEFT,3,0,0,0,33,124,3,0.0909,4,105,https://www.instagram.com/p/DCVBQ71PmxZ/
2024-11-13,carousel,Seller / move-up equity,Wednesday,22,"Well yall, people keep asking, ‘What’s my home really worth?’ 🤔 I’m seeing a lot of people making moves due to life changes, post-election planning, and interest rate changes...",1,0,0,0,24,107,1,0.0417,2,91,https://www.instagram.com/p/DCU-NKNvcHg/
2024-11-12,static,Buyer / first-time / financing,Tuesday,21,"This week, I want to honor all the Veterans who’ve served our country!",0,0,0,0,32,102,0,0.0,0,163,https://www.instagram.com/p/DCSW4wUy2m6/
2024-11-10,reel,Personal / behind the scenes,Sunday,2,There are MANY reason why people choose to buy and sell real estate. We like to categorize them as the 5 Ds and they focus on the intrinsic value of homeownership.,4,0,0,0,220,276,4,0.0182,0,79,https://www.instagram.com/reel/DCLG5t3tR4J/
2024-11-09,reel,Uncategorized,Saturday,19,🙆🏽‍♀️🫶🏽✨…,4,0,0,1,208,276,5,0.024,0,1,https://www.instagram.com/reel/DCKZvcYvVdG/
2024-11-08,carousel,Lifestyle / seasonal / home tips,Friday,16,"🎉 Holiday season is here, which means more travel and more visitors! To help keep your home safe, I’m offering my clients free ADT security systems! I want to make sure your valuables stay put, even w",1,0,0,0,30,126,1,0.0333,0,78,https://www.instagram.com/p/DCHgwVNOoIW/
2024-11-07,static,Buyer / first-time / financing,Thursday,3,"I’m putting together an educational experience like you've NEVER seen before! As a homeowner, imagine unlocking the true value of homeownership and gaining insights you didn’t even know you needed in ",2,0,0,0,40,127,2,0.05,0,118,https://www.instagram.com/p/DCDh3AyNKp3/
2024-10-31,reel,Personal / behind the scenes,Thursday,19,I LOVEEEEEE what I do. I LOVE the people that I do it with. I LOVE the people that I do it for.,5,0,0,0,174,241,5,0.0287,0,91,https://www.instagram.com/reel/DBzKckkPWM2/
2024-10-31,carousel,Lifestyle / seasonal / home tips,Thursday,21,Something cozy is coming your way! Stay tuned for a special treat that will warm you up this fall 🫶🏽✨!,7,2,1,1,87,251,11,0.1264,1,30,https://www.instagram.com/p/DBzdj2Hvjl_/
2024-10-31,carousel,Buyer / first-time / financing,Thursday,21,Let’s go house h(a)unting witches 👻🎃 🫶🏽!,7,0,0,0,53,172,7,0.1321,0,71,https://www.instagram.com/p/DBzcvm2vvFU/
2024-10-31,carousel,Uncategorized,Thursday,11,Attachments: 9,8,0,0,0,42,112,8,0.1905,0,21,https://www.instagram.com/p/DByXRjypEsi/
2024-10-30,static,Seller / move-up equity,Wednesday,16,"🏡✨ Looking to sell your home without the hassle of showings, renovations, or endless waiting?",2,0,0,0,27,84,2,0.0741,5,154,https://www.instagram.com/p/DBwVQWlMmht/
2024-10-26,reel,Buyer / first-time / financing,Saturday,19,"As a Certified Residential Remodeling Specialist, I’m here to help you turn any home into your dream home!",1,0,1,0,262,371,2,0.0076,5,196,https://www.instagram.com/reel/DBmY74APYTA/
2024-10-26,carousel,Market stats / education,Saturday,19,✨OFFER ACCEPTED✨ Congratulations Darius on getting your offer accepted!!!! Thanks for allowing me to serve as co agent to help make sure you got the best result! The cutest townhouse in the cutest nei,3,1,0,0,28,82,4,0.1429,0,40,https://www.instagram.com/p/DBmUdv2vGQD/
2024-10-25,reel,Buyer / first-time / financing,Friday,13,✨HOMEBUYING HACK✨ - Max out your seller credits! Especially as a first time homebuyer. This is a practice that I REGULARLY with my clients because it saves you tonsss of money by keeping it in your po,2,1,0,1,0,840,4,,0,43,https://www.instagram.com/reel/DBjEaOGpzLA/
2024-10-25,reel,Uncategorized,Friday,0,🫶🏽🙋🏽‍♀️ I can help with that 🥴,1,0,0,0,29,52,1,0.0345,0,7,https://www.instagram.com/reel/DBhs4ekvWXF/
2024-10-24,carousel,Seller / move-up equity,Thursday,20,✨A GEM✨ Guyyyysss my friend just had this gorgeous listing come to market and for under $300k you can’t beat it!,8,4,0,0,33,90,12,0.3636,0,63,https://www.instagram.com/p/DBhSGKBPLhd/
2024-10-24,static,Seller / move-up equity,Thursday,6,"You wouldn’t go into surgery without a doctor, so why tackle the real estate market without the right agent by your side? 🏡✨",1,0,0,0,27,65,1,0.037,3,134,https://www.instagram.com/p/DBfwJgIoKXo/
2024-10-23,reel,Personal / behind the scenes,Wednesday,19,"Sometimes the next step feels like elite, but that’s where growth happens. Trust the process, embrace the unknown, and watch how life unfold in ways you’ve never imagined. ✨",2,0,0,1,426,614,3,0.007,0,29,https://www.instagram.com/reel/DBelC9Tvve-/
2024-10-23,reel,Seller / move-up equity,Wednesday,17,Wondering when’s the best time to connect with a Realtor®?,0,0,0,0,27,55,0,0.0,5,167,https://www.instagram.com/reel/DBec0h3vcjX/
2024-10-22,reel,Buyer / first-time / financing,Tuesday,22,Pt2. Looking to score a lower interest rate? Let’s talk about the options available to help you save big on your mortgage! 💬🏡 #MortgageSavings #InterestRateTips #HomeBuyingJourney #AtlantaRealEstate,1,0,0,0,1450,1560,1,0.0007,4,27,https://www.instagram.com/reel/DBcV0lkPcqo/
2024-10-21,reel,Listing / deal of the day / home tour,Monday,14,"Looking for luxury living in a city that feels like home? This stunning new construction in Smyrna has it all: 4 bedrooms, 4.5 baths, and over 4,500 square feet of beautifully designed space. 🏡✨",5,1,0,0,133,180,6,0.0451,6,153,https://www.instagram.com/reel/DBY-uTeP7G_/
